# COLMAP_ID X Y Z
252 -0.969019 5.22803 209.472
251 -0.963814 5.23323 209.466
249 2.09717 0.550614 145.393
248 -1.38219 5.31201 209.915
245 2.22408 -0.906019 144.919
244 0.943579 0.415662 185.936
243 0.894288 0.161863 183.617
242 1.85163 -0.560402 145.15
240 0.958318 0.0271905 177.282
239 2.56733 -1.44546 144.734
238 1.72288 0.365225 145.13
237 2.4182 0.0162612 144.746
236 1.88925 0.0184095 145.062
235 2.6802 -0.171098 144.547
32 3.08446 0.129021 145.086
289 6.10488 -2.6787 189.551
31 2.15414 0.152767 144.889
288 4.38092 5.60134 202.072
30 2.64938 0.123987 144.579
287 3.35001 1.02419 194.253
6 2.12819 0.119799 144.932
263 2.5432 -1.26647 144.688
3 2.68154 -0.0122424 144.585
5 2.37354 0.0722353 144.759
262 2.11905 -1.38484 145.131
259 0.599259 0.552821 187.894
2 3.51898 -1.2055 146.852
4 -0.742878 0.391975 194.978
261 2.54919 0.232381 144.648
258 1.72843 0.199369 177.64
1 2.57151 -1.49703 144.929
17 0.430221 0.763467 189.485
18 2.12927 0.289014 144.87
275 1.06357 2.85095 195.238
19 1.5105 0.344269 145.332
276 2.58993 -1.54644 144.738
20 2.24167 0.341997 144.824
277 6.91889 -2.69213 193.423
29 0.00839042 0.326039 188.352
60 3.05966 -0.461379 145.228
61 1.94344 -0.349455 145.082
62 1.95573 -0.271411 145.06
63 1.95573 -0.271411 145.06
64 2.67411 -0.252305 144.543
65 2.3833 -0.183822 144.716
66 2.68424 -0.177014 144.542
67 2.68414 -0.176855 144.536
68 2.39532 -0.107065 144.76
69 1.88154 -0.0659467 145.051
70 1.88154 -0.066266 145.058
71 1.79303 -0.265087 176.362
72 3.20908 -0.09647 145.214
73 1.79043 -0.0449206 145.25
74 1.8365 -0.24983 185.501
75 1.80661 -0.00880306 145.205
76 1.89272 0.0144364 145.029
77 1.89272 0.0144364 145.029
78 1.82933 -0.111073 181.194
79 2.52802 0.156871 144.674
80 2.23507 0.170219 144.839
81 1.8969 0.00799405 167.987
82 2.95676 0.19653 144.808
83 1.78059 0.247028 145.133
84 1.16362 0.292195 168.677
85 1.45651 0.402444 145.28
86 3.30024 0.376421 145.126
87 1.12921 0.69105 145.369
88 3.4462 -1.22192 147.613
89 1.64836 -1.02723 145.537
90 0.249181 -2.66403 194.311
91 1.87048 -0.881128 145.143
126 1.94413 0.17115 145.041
127 1.83737 0.19617 145.159
7 2.12749 0.120692 144.898
264 2.54214 -1.26694 144.704
8 -0.1697 0.486712 191.783
265 0.238972 -2.66094 193.776
10 2.18003 0.278611 184.062
267 2.61788 -0.680126 144.621
12 1.88895 0.186419 145.077
269 3.42063 -0.604567 146.639
266 2.72187 -1.26845 165.554
9 1.89893 0.137684 145.094
122 2.31811 0.0503115 144.767
13 0.44977 0.531032 185.453
270 3.14201 1.10406 199.896
123 2.97748 0.0534313 144.843
14 1.29295 0.339767 178.783
268 2.11486 -1.37883 145.006
11 1.8884 0.186994 145.044
124 1.95871 0.100074 144.992
15 1.37775 0.152203 163.891
92 2.18313 -0.850968 144.953
