# COLMAP_ID X Y Z
126 -7.51567 -2.4845 23.5454
125 -5.56573 -0.711727 14.5954
124 -4.47983 -3.17516 23.8918
123 -6.86732 -3.8165 24.1442
122 -4.46378 -3.56742 23.9526
121 -4.46378 -3.56742 23.9526
120 -1.45471 -3.28147 23.0184
119 2.4373 -1.52905 41.6991
118 -1.48634 -3.64899 23.0139
117 -1.31652 -3.90765 23.0011
116 -5.08899 -5.13391 24.2314
115 -3.25262 -5.03551 23.7317
114 -1.77422 -4.95963 23.1796
113 -6.02853 -6.89704 24.6991
112 -7.57081 -9.10733 25.469
111 -4.98796 -8.41803 24.6056
110 -3.07837 -7.97001 23.8005
109 -6.55386 -10.7849 25.4757
108 -3.95988 -9.79279 24.2649
107 -15.3285 -18.0907 30.2097
106 -8.99459 -14.2308 27.1915
36 -17.7382 -23.7981 34.0216
37 -17.7382 -23.7981 34.0216
38 -9.03915 -14.6206 27.3228
39 -7.15633 -11.3349 25.8008
40 -9.96716 -12.6338 27.0318
41 -6.59205 -10.5107 25.4612
42 -3.13953 -7.74638 23.7753
43 -4.3795 -6.85335 24.2235
44 -5.95947 -7.12999 24.7302
45 -5.95947 -7.12999 24.7302
46 -4.1218 -6.34639 24.1041
47 -5.61928 -6.56159 24.5652
48 -5.61928 -6.56159 24.5652
49 -1.85083 -4.76771 23.1651
50 -2.97601 -4.79537 23.6303
51 -5.42388 -5.40421 24.3184
52 -5.83722 -5.48645 24.5552
53 -1.7637 -3.90708 23.1662
54 2.36265 -1.76933 55.1106
55 -3.61198 -3.77221 23.73
142 1.41163 -0.73837 110.671
15 -2.72851 -2.66237 23.4155
143 -5.34272 -2.87801 23.9132
16 -3.91973 -2.49083 23.7003
56 3.52122 -1.37163 80.1403
144 -5.34272 -2.87801 23.9132
17 -3.70047 -2.38866 23.6376
57 -2.02938 -3.32769 23.2094
145 -4.22556 -0.749553 32.6977
18 -6.82564 -2.41884 23.7335
58 3.63387 -1.24145 88.88
146 -7.07914 -2.93146 23.8698
19 -6.41635 -1.9408 16.7879
59 1.53696 -1.0223 43.1788
147 -8.19037 -2.66614 23.4933
20 -9.95763 -18.3959 28.7336
30 -6.45456 -3.46882 24.0776
148 -3.26446 -3.21046 23.6078
21 5.76008 -1.69314 131.19
31 -5.89669 -0.693639 31.5046
149 -6.09939 -3.49801 24.0806
22 -1.40364 -3.71121 22.9787
32 -8.72676 -3.49008 23.6775
150 -9.63753 -16.3376 27.9292
23 7.30058 -1.06002 154.485
33 -6.90866 -0.189064 42.0644
151 -14.1419 -18.5622 30.6159
24 -5.226 -4.0187 24.2618
34 -5.69484 -1.94408 17.1032
152 -2.17954 -4.2541 23.3626
25 -5.226 -4.0187 24.2618
140 -6.28726 -2.50132 23.8479
13 3.17444 -0.588052 97.0562
35 -9.13829 -17.5093 28.1044
153 -4.39569 -5.45787 24.0957
26 -3.00781 -3.43377 23.5735
139 -3.96506 -2.66731 23.7152
12 1.35701 -1.00798 64.6413
138 -3.60159 -2.95344 23.6756
11 1.58574 -1.15857 31.5337
137 -2.67777 -3.37378 23.4615
10 3.64218 -1.09994 99.3512
136 -4.12417 -3.937 23.8463
9 1.33561 -1.48823 18.375
135 -4.12417 -3.937 23.8463
8 3.50173 -1.24348 94.1016
134 1.66747 -1.61444 48.1
7 -4.78987 -3.96915 24.0486
133 1.66747 -1.61444 48.1
6 6.82254 -1.11415 196.279
132 7.28631 -1.37944 152.775
5 4.09226 -1.51758 91.0308
131 -8.91396 -10.249 26.135
4 -3.78845 -3.97849 23.8289
130 -9.92427 -12.2699 26.8944
3 5.89012 -1.57383 131.215
129 -6.5755 -10.8053 25.4857
2 6.657 -1.48641 216.292
128 -19.9522 -22.0541 32.2729
1 -1.64033 -3.97202 23.1058
14 -2.95631 -2.75897 23.4818
27 -4.13517 -3.6073 23.8783
28 2.38935 -0.920204 72.66
29 -8.36528 -4.06802 23.9942
60 1.5274 -0.823193 65.533
61 -4.43735 -1.13767 24.4701
63 -3.8657 -1.98428 23.8858
64 -7.37662 -2.47635 23.6855
66 -8.95733 -11.4297 26.4372
68 -3.06451 -4.08654 23.608
69 -3.4648 -3.57363 23.7101
70 -5.18183 -3.79761 24.0555
71 3.25921 -1.09994 74.9325
72 -3.89862 -3.43551 23.7927
73 -2.75551 -3.05284 23.5043
74 2.22452 -0.854005 83.1111
75 -4.9921 -3.43689 23.9925
76 -4.9921 -3.43689 23.9925
77 -2.40235 -2.88098 23.3389
78 -5.22234 -3.26382 23.977
79 -3.63647 -2.64725 23.6504
80 -3.63647 -2.64725 23.6504
81 -4.89849 -0.947527 22.2107
82 -4.89849 -0.947527 22.2107
83 -6.03617 -0.869954 31.4778
84 -8.84106 -3.68561 23.706
85 -7.02707 -2.43495 23.7342
86 -7.02707 -2.43495 23.7342
87 18.1459 5.57511 127.993
88 -7.4584 -15.1856 26.6279
89 -7.4584 -15.1856 26.6279
90 -1.48943 -4.272 23.0407
91 -1.48943 -4.272 23.0407
92 -2.9603 -4.29344 23.583
93 -2.9603 -4.29344 23.583
94 4.34906 -1.65586 119.274
95 -4.62406 -4.31539 24.0188
96 -2.79945 -3.75751 23.5634
97 -4.5489 -3.96348 23.9938
98 2.82364 -1.09136 100.976
99 1.45754 -1.18048 69.8999
100 -3.33895 -2.48632 23.5843
101 -7.42917 -2.7323 23.7379
102 -6.71054 -2.44633 23.7911
103 -7.52453 -2.49263 23.6218
104 -5.41789 -2.10118 17.2457
105 -5.57966 -12.376 25.2316
