# COLMAP_ID X Y Z
2723 407.843 -250.227 2504.34
2690 54.1323 -276.124 503.467
2688 -424.542 -16.505 1601.38
2667 -606.791 -103.126 1529.84
2627 411.522 -55.8619 1635.57
2599 -309.445 -170.004 1607.62
2597 891.211 -56.6706 2403.18
2594 191.282 -149.197 589.77
2593 -616.168 -232.435 2814.64
2592 -716.529 -260.31 2888.12
2591 166.832 -183.437 3162.45
2589 477.178 -232.148 2270.33
2567 -361.228 -155.929 1324.09
2562 -159.853 -87.0572 1238.04
2555 1.53991 30.2077 696.656
2545 898.909 -30.8764 2665.67
2544 330.823 80.062 723.21
2542 -301.838 -170.868 1617.2
2536 80.1743 -47.6814 1146.06
2535 165.012 -244.481 569.117
2534 -247.231 -203.178 1643.13
2533 -313.237 43.592 887.521
2529 226.085 -154.228 593.722
2527 119.255 -732.422 4079.24
2526 -314.801 -732.81 3673.15
2520 -30.4394 77.5467 624.628
2508 -297.332 121.18 734.857
2483 -59.651 -689.869 4011.28
2380 -656.392 -146.516 2196.7
2356 -184.112 173.062 776.65
2354 233.802 97.3578 1362.46
2353 281.729 -117.098 919.854
2349 -78.221 119.776 149.148
2347 -44.3805 77.6765 143.254
2343 -43.5318 137.821 632.699
2341 -13.0342 91.3284 733.902
2335 -541.644 -274.049 2806.2
2332 168.121 -239.215 596.203
2324 327.676 7.63838 772.239
2321 -131.992 198.143 572.558
2320 -43.0317 34.4401 126.161
2318 -36.8208 122.53 696.555
2305 -102.668 182.928 524.143
2302 -351.596 182.242 754.937
2300 -505.096 113.618 620.866
2296 -40.3927 124.666 665.136
2294 -11.1317 116.014 702.171
2292 54.2291 89.8481 992.285
2291 335.283 53.2206 718.824
2290 351.259 8.98854 693.536
2274 -236.263 70.0903 902.26
2269 -643.711 0.516656 1245.46
2267 320.98 -7.32439 1181.03
2266 -122.891 -69.2661 1235.43
2264 303.289 -48.1159 1005.58
2262 1053.43 -20.7231 2482.46
2258 130.08 -253.873 523.868
2248 -15.9427 129.655 717.323
2246 -510.237 38.0368 847.308
2241 -129.41 -80.4184 1247.74
2234 214.348 -175.997 567.04
2233 460.121 -276.201 2933.77
2228 -384.425 154.109 724.673
2223 -663.129 -245.669 2827.37
2222 486.649 -222.942 2243.47
2220 -80.0892 125.132 150.231
2219 -66.4853 62.6747 142.963
2207 96.5457 -141.914 1781.04
2205 -45.9563 -186.845 2985.19
2203 1043.68 -45.8537 2736.18
2196 -35.2557 61.2454 140.383
2192 -128.234 229.876 576.694
2191 -655.364 -23.1652 1403.31
2189 -721.641 -112.511 1445.13
2188 -456.17 141.588 663.105
2182 -488.792 89.0141 862.175
2181 -30.5126 69.4992 636.004
2174 -1250.92 -396.478 3807.61
2169 -84.6024 72.4209 1015.08
2165 -1254.48 -369.23 3803.59
2163 -812.78 -292.975 1731.6
2156 -97.9809 228.143 601.185
2155 -251.019 185.159 664.211
2149 324.779 -17.5061 1212.12
2143 -949.335 -511.72 2762.31
2139 -59.7458 141.547 144.383
2137 18.8606 77.5182 127.566
2136 -59.5941 66.3537 138.303
2133 -354.971 153.947 747.523
2130 -49.9975 154.884 939.265
2127 -141.641 66.7373 995.459
2123 -294.257 -101.755 1274.8
2117 -4.55881 106.699 1384.59
2116 -324.388 -85.2377 1189.9
2111 309.631 -126.897 1009.85
2110 -59.7038 -195.816 3046.67
2108 502.794 -315.576 3236.9
2107 487.92 -440.755 3341.93
2106 256.506 -426.503 3017.7
2105 -85.7362 109.245 346.447
2103 388.728 -362.796 3077.57
2094 -1230.43 -380.579 3807.37
2092 -325.066 45.5007 1000.87
2089 218.835 -281.373 526.966
2088 -194.413 -83.4634 1186.15
2087 -216.771 -87.7581 1187.28
2086 -402.714 202.277 293.321
2082 -374.623 193.978 278.268
2081 20.3848 76.3334 124.974
2079 -99.5366 192.196 592.863
2077 -590.279 31.2514 1116.35
2074 521.971 -451.909 3404.46
2069 -119.763 55.5879 1163.04
2067 144.824 -247.4 538.986
2066 -79.9706 160.032 152.019
2065 -408.623 190.714 306.196
2061 -479.513 99.0464 839.02
2053 -679.019 -58.7522 1384.29
2051 -377.136 198.007 264.936
2050 -30.2974 176.375 382.926
2047 -9.08368 77.5462 1040.94
2040 -300.935 -103.89 1237.37
2036 -1250.53 -396.398 3806.34
2033 -119.607 231.299 575.228
2031 88.2292 85.4112 203.397
2028 -199.224 59.3329 1008.23
2026 -564.424 30.5741 1030.87
2025 -89.1298 66.6978 1101.82
2024 -655.953 -16.6568 1342.36
2021 500.437 -165.7 2164.52
2020 201.233 -240.515 3691.44
2018 241.355 -374.679 2919.31
2013 -333.54 202.113 219.95
2012 -469.543 177.72 539.55
2011 -469.543 177.72 539.55
2010 -458.391 168.173 532.116
2009 23.381 78.4016 126.325
1999 -487.383 78.8513 860.525
1998 -408.124 46.3041 891.359
1997 -399.344 38.1099 956.31
1996 -346.909 48.1002 1007.15
1994 -643.678 -9.87296 1328.49
1988 -1277.29 -386.582 3814.29
1985 514.52 -421.059 3276.54
1983 -117.9 175.804 144.655
1977 -95.6229 110.542 284.471
1974 -370.416 153.799 641.075
1970 -250.489 57.4606 943.79
1965 -62.1821 73.6184 1087.96
1962 322.403 22.8418 734.888
1958 145.955 -70.6766 1089.04
1956 1072.67 -43.0602 2930.08
1952 -147.06 -211.993 3039.66
1950 -818.444 -280.392 2890.58
1949 -882.022 -306.682 3037.94
1946 481.002 -395.978 3343.3
1939 -223.029 210.857 515.906
1935 -286.303 54.0414 934.446
1933 -3.34729 71.1261 1103.18
1932 -72.702 69.812 1138.82
1931 -659.14 -1.76451 1287.75
1929 -637.802 -46.5019 1462.04
1923 -582.835 -134.814 1837.24
1921 -185.391 -129.76 1345.83
1918 508.748 -350.259 3264.65
1915 536.438 -382.005 3140.02
1912 488.607 -421.677 3374.64
1910 534.58 -414.571 3169.6
1909 544.352 -436.812 3147.42
1901 -699.958 -114.027 1425.98
1895 -828.718 -269.804 2830.5
1888 -31.3727 59.9733 143.38
1885 489.442 -402.65 3329.45
1884 490.332 -402.877 3331.47
1882 559.815 -424.743 3104.86
1881 180.535 93.4372 490.836
1879 -272.359 -216.071 807.02
1877 109.323 -56.8819 764.432
1876 249.689 137.13 1031.48
1873 358.703 5.28355 708.422
1872 -338.142 148.926 770.104
1870 254.712 -115.419 1635
1866 122.248 20.1773 1561.86
1865 118.919 245.976 87.6452
1864 126 233.636 89.0487
1862 116.577 210.858 94.1479
1854 168.851 67.7426 1614.55
1852 -146.866 68.8167 1457.18
1850 123.119 248.767 83.1199
1845 130.65 241.619 86.593
1843 -86.4586 151.034 147.328
1841 -62.2724 97.7343 153.604
1839 307.774 145.034 972.486
1837 -269.236 74.5866 888.754
1835 393.216 54.2892 2218.09
1828 145.351 236.031 58.2392
1825 -78.262 199.407 144.583
1824 -240.337 202.803 519.538
1816 15.8851 69.0152 1048.88
1815 -386.383 59.3036 850.461
1814 -395.046 59.5037 855.154
1813 -395.046 59.5037 855.154
1807 -314.3 -96.715 1176.66
1806 199.758 -349.622 3286.94
1800 143.018 236.241 70.7093
1799 156.316 237.908 72.9185
1797 138.858 243.622 87.9405
1796 -74.6374 173.809 147.014
1795 -280.149 227.76 515.563
1792 -109.824 170.632 836.128
1788 398.544 7.9952 707.339
1787 -396.745 46.2485 902.434
1784 203.486 -149.296 605.28
1783 -25.524 324.683 177.14
1782 114.499 252.256 96.8831
1781 147.006 232.975 58.3578
1779 139.552 231.222 84.5575
1778 155.039 210.908 76.8501
1775 -167.044 184.267 765.717
1774 -292.454 173.17 727.82
1772 347.875 4.16628 697.396
1767 -290.499 -104.088 856.05
1760 138.553 236.256 84.7731
1759 -70.4524 215.837 127.067
1756 74.5511 -38.791 1141.65
1753 -176.371 -124.337 1456.74
1750 -158.93 -88.8451 1255.77
1749 -235.433 -86.9922 1150.65
1746 73.15 -6.47512 922.109
1743 -273.638 -215.349 823.014
1738 -276.145 -202.867 773.46
1737 277.309 -45.8106 612.045
1731 -40.2223 42.4873 729.655
1729 325.872 70.8283 736.874
1727 347.005 68.2999 711.069
1723 -248.809 213.615 504.759
1722 -118.502 196.804 571.298
1714 -304.948 64.5841 876.957
1713 602.361 -471.627 2930.9
1708 -294.181 223.974 371.189
1707 37.8212 78.8305 120.299
1706 347.288 189.151 712.79
1692 -269.172 209.181 482.739
1690 127.914 125.864 294.454
1687 -456.154 119.44 700.401
1682 396.621 -13.571 788.071
1678 -298.773 -214.962 920.275
1673 594.708 -520.032 3049.05
1672 -322.967 220.739 154.45
1668 -63.505 66.4384 150.994
1667 -356.141 153.808 654.486
1665 390.031 157.052 770.169
1664 164.048 86.6822 546.116
1661 -22.8365 71.513 1036.11
1658 430.455 98.9368 2201.23
1657 278.665 -34.4022 1140.84
1655 -306.624 -94.78 1188.88
1650 -77.2444 127.713 154.69
1648 442.205 227.239 835.156
1637 242.914 -42.1719 425.412
1633 -537.016 -250.539 2981.44
1631 210.262 -153.751 608.254
1629 -98.0631 220.39 590.256
1616 333.142 29.2762 2368.67
1615 110.118 -12.0055 1107.77
1614 -123.512 -45.8414 1599.69
1611 529.981 -331.682 3184.45
1608 -279.213 -210.86 771.798
1604 -48.8904 -29.7885 437.358
1601 -529.356 -41.4965 1972.31
1599 -158.548 -82.6474 1232.77
1595 479.798 -609.964 3715.44
1586 187.25 -146.808 573.419
1584 295.682 40.8003 2176.51
1582 -352.904 164.606 706.929
1578 -250.31 227.369 511.52
1575 -660.977 -263.839 2924.56
1571 -17.6312 45.5791 151.675
1568 163.806 -643.287 3754.44
1567 113.078 228.961 94.434
1563 -311.915 223.791 362.754
1562 -311.915 223.791 362.754
1561 -89.3411 91.151 153.754
1556 -18.1271 -121.441 1508.72
1554 107.635 246.261 91.5255
1553 107.648 245.976 91.23
1552 102.879 232.631 97.3681
1549 -90.2021 207.619 149.296
1547 -503.561 157.453 650.543
1545 -117.148 162.916 823.011
1542 211.969 -86.0942 1447.77
1539 -301.921 236.102 151.339
1538 -343.094 216.642 192.076
1532 -130.254 222.474 605.281
1531 320.435 143.153 737.531
1528 -504.31 134.214 646.663
1518 -840.416 -269.352 2816.66
1517 -267.6 -230.626 780.816
1516 -270.356 283.3 126.927
1514 -310.214 232.698 175.186
1507 306.56 69.1595 771.986
1501 83.2928 1.51486 717.756
1498 113.04 244.175 78.6184
1496 -316.926 232.075 167.699
1495 -309.103 230.959 184.133
1494 -328.581 217.642 191.356
1484 33.1909 75.9257 121.039
1482 -480.863 103.106 639.979
1478 448.856 73.7188 2209.64
